durations;datelimits
62;2018-11-27/2019-01-28
71;2018-08-22/2018-11-01
137;2018-03-29/2018-08-13
107;2017-12-04/2018-03-21
113;2017-05-15/2017-09-05
149;2016-11-01/2017-03-30
21;2016-08-30/2016-09-20
21;2016-08-05/2016-08-26
43;2016-06-23/2016-08-05
14;2016-06-06/2016-06-20
26;2016-05-11/2016-06-06
8;2016-05-02/2016-05-10
4;2016-03-11/2016-03-15
4;2016-01-08/2016-01-12
5;2016-01-27/2016-02-01
9;2015-12-26/2016-01-04
8;2015-11-23/2015-12-01
7;2015-11-09/2015-11-16
7;2015-10-22/2015-10-29
5;2015-08-12/2015-08-17
11;2015-10-10/2015-10-21
12;2015-07-01/2015-07-13
31;2015-05-01/2015-06-01
29;2015-03-24/2015-04-22
22;2014-06-04/2014-06-26
50;2014-07-09/2014-08-28
139;2014-08-28/2015-01-14
102;2013-11-17/2014-02-27
