durations,datelimits
74,2010-10-26/2011-01-08
46,2010-09-10/2010-10-26
18,2010-07-22/2010-08-09
12,2010-07-10/2010-07-22
15,2010-04-30/2010-05-15
7,2010-02-18/2010-02-25
18,2010-01-08/2010-01-26
14,2009-12-07/2009-12-21
12,2009-09-25/2009-10-07
28,2009-07-01/2009-07-29
12,2009-06-19/2009-07-01
9,2009-06-09/2009-06-18
6,2009-04-08/2009-04-14
8,2009-03-31/2009-04-08
10,2009-01-17/2009-01-27
14,2009-02-07/2009-02-21
14,2008-10-24/2008-11-07
18,2008-10-06/2008-10-24
26,2008-09-10/2008-10-06
50.0,2011-07-19/2011-09-07
