"[168, '2016-04-06/2016-09-21']","['sot', 168, '2016-04-06/2016-09-21']"
"[71, '2017-03-14/2017-05-24']","['sot', 71, '2017-03-14/2017-05-24']"
"[72, '2017-11-06/2018-01-17']","['sot', 72, '2017-11-06/2018-01-17']"
"[471, '2018-03-06/2019-06-20']","['sot', 109, '2018-03-06/2018-06-23']","['h', 165, '2018-08-07/2018-12-05']","['sot', 197, '2018-12-05/2019-06-20']"
