"[1194.0, '2013-12-27/2017-04-04']","['h', 145, '2013-12-27/2014-05-21']","['sot', 362, '2014-05-21/2015-05-18']","['h', 165, '2015-07-05/2015-10-30']","['sot', 522, '2015-10-30/2017-04-04']"
"[43.0, '2017-04-04/2017-05-17']","['h', 36, '2017-04-04/2017-05-10']"
"[35.0, '2017-06-09/2017-07-14']","['sot', 35, '2017-06-09/2017-07-14']"
"[55.0, '2017-11-09/2018-01-03']","['sot', 55, '2017-11-09/2018-01-03']"
"[21.0, '2018-02-12/2018-03-05']","['sot', 21, '2018-02-12/2018-03-05']"
"[20.0, '2018-01-23/2018-02-12']","['sot', 20, '2018-01-23/2018-02-12']"
