id,date,creator_login
64812909,2014-11-27 16:56:31,indutny
64812967,2014-11-27 16:57:14,indutny
64877620,2014-11-28 10:16:32,indutny
64877793,2014-11-28 10:18:09,indutny
64878123,2014-11-28 10:21:20,indutny
64878202,2014-11-28 10:22:11,indutny
64880406,2014-11-28 10:43:08,indutny
64881583,2014-11-28 10:55:11,indutny
64933346,2014-11-28 22:58:34,indutny
64949074,2014-11-29 11:33:34,indutny
64949145,2014-11-29 11:37:39,indutny
64949379,2014-11-29 11:48:06,indutny
64949395,2014-11-29 11:48:57,indutny
64955001,2014-11-29 15:22:05,indutny
64958832,2014-11-29 17:26:19,indutny
65169613,2014-12-02 01:27:39,indutny
65170624,2014-12-02 01:38:38,indutny
65172245,2014-12-02 01:58:31,indutny
65174285,2014-12-02 02:25:19,indutny
65268278,2014-12-02 17:22:08,indutny
65272488,2014-12-02 17:48:06,indutny
65272559,2014-12-02 17:48:30,indutny
65273686,2014-12-02 17:55:20,indutny
65321440,2014-12-02 22:56:56,indutny
65323563,2014-12-02 23:13:19,indutny
65344189,2014-12-03 02:37:32,indutny
65366998,2014-12-03 07:47:55,indutny
65367584,2014-12-03 07:55:22,indutny
65367719,2014-12-03 07:57:06,indutny
65393648,2014-12-03 11:24:35,indutny
65395083,2014-12-03 11:40:13,indutny
65505162,2014-12-03 22:41:38,indutny
65620858,2014-12-04 11:47:56,indutny
65620913,2014-12-04 11:48:34,indutny
65620974,2014-12-04 11:49:08,indutny
65631331,2014-12-04 13:30:14,indutny
65633210,2014-12-04 13:45:25,indutny
65636380,2014-12-04 14:09:39,indutny
65637182,2014-12-04 14:15:47,indutny
65643862,2014-12-04 15:01:19,indutny
65644809,2014-12-04 15:07:22,indutny
65647345,2014-12-04 15:22:33,indutny
65648210,2014-12-04 15:27:38,indutny
65653812,2014-12-04 15:59:21,indutny
65657060,2014-12-04 16:16:50,indutny
65677178,2014-12-04 18:19:58,indutny
65677230,2014-12-04 18:20:21,indutny
65686414,2014-12-04 19:18:50,indutny
65687682,2014-12-04 19:26:51,indutny
65687736,2014-12-04 19:27:15,indutny
65687860,2014-12-04 19:27:58,indutny
65687972,2014-12-04 19:28:41,indutny
65688803,2014-12-04 19:33:45,indutny
65716590,2014-12-04 22:37:23,indutny
65914582,2014-12-06 21:25:18,indutny
65917970,2014-12-06 22:59:31,indutny
65918476,2014-12-06 23:11:15,indutny
65918501,2014-12-06 23:12:07,indutny
65939868,2014-12-07 14:59:58,indutny
65939886,2014-12-07 15:00:40,indutny
65939909,2014-12-07 15:01:17,indutny
65939959,2014-12-07 15:02:37,indutny
65940054,2014-12-07 15:05:42,indutny
65940080,2014-12-07 15:06:34,indutny
65942661,2014-12-07 16:20:53,indutny
65942691,2014-12-07 16:21:54,indutny
65969478,2014-12-08 02:37:30,indutny
65971620,2014-12-08 03:19:38,indutny
65972346,2014-12-08 03:34:02,indutny
65972655,2014-12-08 03:40:14,indutny
66107439,2014-12-08 12:03:43,indutny
66107512,2014-12-08 12:04:39,indutny
66108168,2014-12-08 12:12:14,indutny
66115541,2014-12-08 13:29:58,indutny
66115614,2014-12-08 13:30:34,indutny
66115630,2014-12-08 13:30:41,indutny
66115695,2014-12-08 13:31:14,indutny
66117485,2014-12-08 13:47:53,indutny
66117589,2014-12-08 13:48:41,indutny
66127029,2014-12-08 14:59:43,indutny
66127820,2014-12-08 15:04:44,indutny
66128360,2014-12-08 15:08:13,indutny
66129685,2014-12-08 15:16:48,indutny
66130747,2014-12-08 15:23:50,indutny
66132849,2014-12-08 15:37:14,indutny
66133040,2014-12-08 15:38:22,indutny
66397088,2014-12-10 02:54:04,indutny
66419391,2014-12-10 08:36:38,indutny
66419589,2014-12-10 08:38:42,indutny
66419639,2014-12-10 08:39:22,indutny
66420600,2014-12-10 08:50:21,indutny
66420736,2014-12-10 08:51:56,indutny
66485968,2014-12-10 17:08:20,indutny
66495973,2014-12-10 18:11:12,indutny
66586534,2014-12-11 08:25:09,indutny
66770846,2014-12-12 13:15:11,indutny
66773692,2014-12-12 13:42:58,indutny
66904496,2014-12-14 06:32:20,indutny
67118884,2014-12-16 06:40:31,indutny
67118918,2014-12-16 06:41:06,indutny
67172159,2014-12-16 15:03:55,indutny
67172526,2014-12-16 15:06:05,indutny
67262558,2014-12-17 01:12:05,indutny
67267946,2014-12-17 02:19:13,indutny
67281557,2014-12-17 06:15:09,indutny
67321469,2014-12-17 13:26:56,indutny
67323684,2014-12-17 13:46:14,indutny
67761180,2014-12-21 06:00:52,indutny
67761256,2014-12-21 06:05:58,indutny
68393915,2014-12-30 20:19:23,indutny
68752853,2015-01-05 18:33:43,indutny
68884893,2015-01-06 16:02:15,indutny
69084931,2015-01-07 20:18:06,indutny
69324744,2015-01-09 11:47:00,indutny
69429447,2015-01-10 01:11:58,indutny
69457474,2015-01-10 14:24:35,indutny
69493876,2015-01-11 13:09:30,indutny
69493940,2015-01-11 13:11:43,indutny
69493976,2015-01-11 13:12:48,indutny
69494228,2015-01-11 13:21:22,indutny
69494700,2015-01-11 13:36:55,indutny
69494965,2015-01-11 13:46:16,indutny
69498325,2015-01-11 15:33:51,indutny
69498343,2015-01-11 15:34:30,indutny
69500908,2015-01-11 16:46:56,indutny
69508497,2015-01-11 19:55:08,indutny
69508752,2015-01-11 20:01:16,indutny
69511528,2015-01-11 21:08:13,indutny
69512082,2015-01-11 21:21:35,indutny
69513387,2015-01-11 21:52:18,indutny
69582218,2015-01-12 15:02:45,indutny
69588147,2015-01-12 15:38:00,indutny
69600809,2015-01-12 16:45:34,indutny
69620269,2015-01-12 18:36:19,indutny
69633303,2015-01-12 19:49:58,indutny
69636226,2015-01-12 20:07:05,indutny
69637130,2015-01-12 20:12:33,indutny
69641082,2015-01-12 20:36:41,indutny
69642424,2015-01-12 20:44:53,indutny
69679455,2015-01-13 01:18:24,indutny
69742400,2015-01-13 13:17:26,indutny
69744679,2015-01-13 13:38:20,indutny
69782457,2015-01-13 17:23:02,indutny
69782674,2015-01-13 17:24:18,indutny
69784829,2015-01-13 17:37:11,indutny
69784919,2015-01-13 17:37:46,indutny
69786991,2015-01-13 17:49:35,indutny
69787627,2015-01-13 17:53:16,indutny
69789401,2015-01-13 18:03:53,indutny
69842541,2015-01-13 23:29:34,indutny
69846941,2015-01-14 00:07:53,indutny
69847260,2015-01-14 00:11:08,indutny
69847732,2015-01-14 00:16:07,indutny
69847976,2015-01-14 00:18:11,indutny
69847992,2015-01-14 00:18:18,indutny
69848246,2015-01-14 00:20:40,indutny
69848253,2015-01-14 00:20:45,indutny
69848301,2015-01-14 00:21:15,indutny
69850197,2015-01-14 00:40:47,indutny
69854630,2015-01-14 01:28:48,indutny
69855249,2015-01-14 01:35:53,indutny
69856085,2015-01-14 01:44:59,indutny
