durations,datelimits
8.0,2013-06-25/2013-07-03
11.0,2013-08-14/2013-08-25
22.0,2013-09-17/2013-10-09
10.0,2013-10-26/2013-11-05
13.0,2013-11-29/2013-12-12
12.0,2014-03-15/2014-03-27
11.0,2014-06-02/2014-06-13
17.0,2014-10-20/2014-11-06
31.0,2014-11-09/2014-12-10
17.0,2014-12-10/2014-12-27
21.0,2015-01-04/2015-01-25
38.0,2015-07-22/2015-08-29
18.0,2015-05-27/2015-06-14
20.0,2015-09-15/2015-10-05
23.0,2015-10-25/2015-11-17
32.0,2015-12-21/2016-01-22
17.0,2016-01-22/2016-02-08
21.0,2016-04-26/2016-05-17
100.0,2016-07-27/2016-11-04
62.0,2016-11-22/2017-01-23
40.0,2017-02-01/2017-03-13
100.0,2017-03-13/2017-06-21
57.0,2017-07-04/2017-08-30
105.0,2018-10-29/2019-02-11
