durations,datelimits
11.0,2011-01-01/2011-01-12
13.0,2011-01-20/2011-02-02
7.0,2011-07-28/2011-08-04
8.0,2011-09-12/2011-09-20
7.0,2011-09-20/2011-09-27
11.0,2011-10-07/2011-10-18
8.0,2012-01-04/2012-01-12
9.0,2012-03-08/2012-03-17
13.0,2012-04-13/2012-04-26
15.0,2012-05-14/2012-05-29
11.0,2012-10-29/2012-11-09
19.0,2013-05-12/2013-05-31
27.0,2013-10-02/2013-10-29
17.0,2013-09-07/2013-09-24
13.0,2014-03-09/2014-03-22
21.0,2014-03-29/2014-04-19
21.0,2014-07-30/2014-08-20
9.0,2014-12-01/2014-12-10
4.0,2015-01-14/2015-01-18
5.0,2015-01-24/2015-01-29
6.0,2015-02-07/2015-02-13
11.0,2015-03-04/2015-03-15
15.0,2015-03-28/2015-04-12
43.0,2015-07-11/2015-08-23
24.0,2015-12-17/2016-01-10
18.0,2016-03-18/2016-04-05
38.0,2016-12-21/2017-01-28
38.0,2017-04-03/2017-05-11
54.0,2017-08-15/2017-10-08
34.0,2017-05-29/2017-07-02
38.0,2017-12-17/2018-01-24
56.0,2018-11-23/2019-01-18
28.0,2018-09-25/2018-10-23
26.0,2018-10-28/2018-11-23
13.0,2019-01-29/2019-02-11
22.0,2019-05-14/2019-06-05
