dev;username;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
10328450;tschechlovdev;26.46525679758308;3.308157099697885;3.308157099697885;2.205438066465257;1.1027190332326284;0.0;1.1027190332326284;0.0;0.0;0.0
836369;matthiasgeiger;22.512335526315788;2.1011513157894735;1.800986842105263;0.0;0.0;0.3001644736842105;0.0;0.0;0.0;0.0
390082;simonharrer;24.880149812734082;2.7340823970037453;2.460674157303371;1.6404494382022472;1.3670411985018727;0.27340823970037453;0.0;0.27340823970037453;0.0;0.0
390083;lenhard;35.10687022900763;4.179389312977099;3.900763358778626;0.27862595419847325;0.27862595419847325;0.27862595419847325;0.27862595419847325;0.0;0.0;0.0
10328451;boceckts;18.71794871794872;1.4398422090729783;1.4398422090729783;1.4398422090729783;0.7199211045364892;0.0;0.0;0.7199211045364892;0.0;0.0
414744;halirutan;22.32712765957447;4.8537234042553195;3.882978723404255;0.9707446808510638;0.0;0.9707446808510638;0.0;0.0;0.0;0.0
39235484;LinusDietz;28.42213114754098;5.235655737704918;5.235655737704918;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4556166;oscargus;47.88366336633664;7.227722772277229;6.324257425742575;0.0;0.0;3.6138613861386144;3.6138613861386144;0.0;0.0;0.0
327932;lynyus;63.1203007518797;1.3721804511278195;1.3721804511278195;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65723;koppor;41.73862310385064;3.8331388564760798;3.8331388564760798;0.21295215869311554;0.21295215869311554;0.0;0.0;0.0;0.0;0.0
10261643;zellerdev;25.74307304785894;4.596977329974811;4.596977329974811;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3168844;tobiasdiez;53.708708708708706;6.028528528528528;6.028528528528528;0.27402402402402404;0.27402402402402404;0.0;0.0;0.0;0.0;0.0
436072;stefan-kolb;34.06275140788415;4.404666130329847;4.11102172164119;0.0;0.0;0.2936444086886565;0.0;0.0;0.0;0.0
1044895;Siedlerchr;57.70750988142292;4.328063241106719;4.328063241106719;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10328444;bartsch-dev;25.124282982791588;2.0936902485659656;2.0936902485659656;2.791586998087954;1.395793499043977;0.0;0.6978967495219885;0.6978967495219885;0.0;0.0
10358490;obraliar;15.40084388185654;1.5400843881856539;1.0267229254571026;1.0267229254571026;0.5133614627285513;0.5133614627285513;0.5133614627285513;0.0;0.0;0.0
1938898;mlep;18.90103567318757;1.2600690448791714;1.2600690448791714;0.0;0.0;0.0;0.0;0.0;0.0;0.0
