durations,datelimits
5.0,2013-07-03/2013-07-08
6.0,2013-08-06/2013-08-12
5.0,2013-08-29/2013-09-03
11.0,2015-06-18/2015-06-29
7.0,2015-08-05/2015-08-12
7.0,2015-12-04/2015-12-11
7.0,2016-01-29/2016-02-05
10.0,2016-03-11/2016-03-21
10.0,2016-06-21/2016-07-01
11.0,2016-08-19/2016-08-30
8.0,2016-06-07/2016-06-15
10.0,2016-09-20/2016-09-30
20.0,2016-10-05/2016-10-25
28.0,2016-12-15/2017-01-12
26.0,2017-03-27/2017-04-22
29.0,2017-01-12/2017-02-10
157.0,2017-04-22/2017-09-26
98.0,2017-09-26/2018-01-02
