kevinsawicki,4,105,10,5,282,64,48,519,0.015414258188824663
nathansobo,321,1585,7,1914,0.0020898641588296763
thewarpaint,1,1.0
silvenon,109,110,220,0.013636363636363636
izuzak,1,1.0
mnquintana,75,35,21,133,0.03759398496240601
slang800,282,283,0.007067137809187279
50Wliu,45,78,17,2,43,37,28,27,3,4,17,85,3,20,6,70,10,31,62,42,10,35,8,378,10,396,1473,0.02172437202987101
stevemao,1,1.0
mcandre,1,1.0
thomasjo,1,1.0
domoritz,1,1.0
knpwrs,1,1.0
signedin,1,1.0
alexnorton,1,1.0
ypresto,1,1.0
not-an-aardvark,1,1.0
damieng,11,12,0.16666666666666666
alrra,1,1.0
AMeng,1,1.0
torn4dom4n,42,43,0.046511627906976744
jonatan-ivanov,1,1.0
lee-dohm,4,5,0.4
Greenek,1,1.0
amancevice,1,1.0
jasonrudolph,7,233,241,0.012448132780082987
Ben3eeE,9,136,32,178,0.02247191011235955
Aerijo,1,1.0
rafeca,1,1.0
