durations;datelimits
105;2018-10-29/2019-02-11
57;2017-07-04/2017-08-30
100;2017-03-13/2017-06-21
40;2017-02-01/2017-03-13
62;2016-11-22/2017-01-23
100;2016-07-27/2016-11-04
21;2016-04-26/2016-05-17
17;2016-01-22/2016-02-08
32;2015-12-21/2016-01-22
23;2015-10-25/2015-11-17
20;2015-09-15/2015-10-05
18;2015-05-27/2015-06-14
38;2015-07-22/2015-08-29
21;2015-01-04/2015-01-25
17;2014-12-10/2014-12-27
31;2014-11-09/2014-12-10
17;2014-10-20/2014-11-06
11;2014-06-02/2014-06-13
12;2014-03-15/2014-03-27
13;2013-11-29/2013-12-12
10;2013-10-26/2013-11-05
22;2013-09-17/2013-10-09
11;2013-08-14/2013-08-25
8;2013-06-25/2013-07-03
