"[139.0, '2018-02-01/2018-06-20']","['h', 21, '2018-02-01/2018-02-22']","['sot', 118, '2018-02-22/2018-06-20']"
"[16.0, '2018-07-17/2018-08-02']","['sot', 16, '2018-07-17/2018-08-02']"
"[10.0, '2018-09-07/2018-09-17']","['sot', 10, '2018-09-07/2018-09-17']"
"[22, '2018-12-10/2019-01-01']","['sot', 22, '2018-12-10/2019-01-01']"
