"[31.0, '2017-05-09/2017-06-09']","['sot', 31, '2017-05-09/2017-06-09']"
"[67.0, '2017-07-10/2017-09-15']","['sot', 67, '2017-07-10/2017-09-15']"
"[16.0, '2017-09-20/2017-10-06']","['sot', 16, '2017-09-20/2017-10-06']"
"[14.0, '2017-11-22/2017-12-06']","['sot', 14, '2017-11-22/2017-12-06']"
"[9.0, '2017-10-12/2017-10-21']","['sot', 9, '2017-10-12/2017-10-21']"
"[7.0, '2017-11-02/2017-11-09']","['sot', 7, '2017-11-02/2017-11-09']"
"[8.0, '2018-04-30/2018-05-08']","['h', 7, '2018-04-30/2018-05-07']"
"[4.0, '2018-05-24/2018-05-28']","['sot', 4, '2018-05-24/2018-05-28']"
"[12.0, '2018-05-29/2018-06-10']","['h', 10, '2018-05-29/2018-06-08']"
"[10.0, '2018-07-12/2018-07-22']","['sot', 10, '2018-07-12/2018-07-22']"
