to;Active;Sleeping;Hibernating;Dead
Dead;0.0;0.0;-;100.0
Hibernating;50.38243984769175;16.62806843363297;8.995286140794779;23.994205577880496
Sleeping;88.44540819448609;4.972499270914965;6.582092534598952;-
Active;86.84201572323714;10.5650525074269;2.5929317693359595;-
