durations,datelimits
20.0,2015-03-14/2015-04-03
34.0,2015-08-13/2015-09-16
26.0,2015-09-16/2015-10-12
85.0,2015-10-12/2016-01-05
57.0,2016-02-01/2016-03-29
68.0,2016-04-03/2016-06-10
170.0,2016-11-21/2017-05-10
277.0,2018-03-30/2019-01-01
130.0,2017-05-14/2017-09-21
