"[18.0, '2017-11-08/2017-11-26']","['sot', 18, '2017-11-08/2017-11-26']"
"[22.0, '2018-02-16/2018-03-10']","['sot', 22, '2018-02-16/2018-03-10']"
"[18.0, '2018-03-10/2018-03-28']","['sot', 18, '2018-03-10/2018-03-28']"
"[36.0, '2018-04-24/2018-05-30']","['sot', 36, '2018-04-24/2018-05-30']"
