"[337.0, '2013-12-22/2014-11-24']","['h', 255, '2013-12-22/2014-09-03']"
"[274.0, '2015-07-15/2016-04-14']","['sot', 274, '2015-07-15/2016-04-14']"
"[312.0, '2016-04-14/2017-02-20']","['h', 267, '2016-04-14/2017-01-06']"
"[680, '2017-02-20/2019-01-01']","['h', 234, '2017-02-20/2017-10-12']","['sot', 446, '2017-10-12/2019-01-01']"
