durations;datelimits
8;2018-08-30/2018-09-07
8;2018-06-11/2018-06-19
8;2018-05-17/2018-05-25
8;2017-04-04/2017-04-12
9;2016-12-26/2017-01-04
7;2016-08-29/2016-09-05
4;2016-08-11/2016-08-15
3;2016-06-17/2016-06-20
3;2016-04-22/2016-04-25
3;2016-04-15/2016-04-18
3;2016-04-08/2016-04-11
4;2015-12-10/2015-12-14
4;2015-11-08/2015-11-12
3;2015-11-04/2015-11-07
3;2015-11-01/2015-11-04
3;2015-06-12/2015-06-15
5;2015-04-22/2015-04-27
3;2015-03-30/2015-04-02
4;2014-12-19/2014-12-23
3;2014-12-13/2014-12-16
4;2014-11-21/2014-11-25
3;2014-11-13/2014-11-16
4;2014-10-21/2014-10-25
3;2014-09-29/2014-10-02
3;2013-10-04/2013-10-07
3;2013-09-25/2013-09-28
5;2013-09-17/2013-09-22
5;2013-03-18/2013-03-23
6;2013-03-11/2013-03-17
4;2013-02-28/2013-03-04
4;2013-02-04/2013-02-08
3;2012-12-17/2012-12-20
3;2012-12-13/2012-12-16
3;2012-12-10/2012-12-13
4;2012-12-27/2012-12-31
4;2012-08-30/2012-09-03
4;2012-06-28/2012-07-02
24;2011-11-20/2011-12-14
26;2011-09-27/2011-10-23
20;2011-07-13/2011-08-02
17;2011-05-02/2011-05-19
