"[12, '2018-11-30/2018-12-12']","['sot', 12, '2018-11-30/2018-12-12']"
"[5, '2019-01-07/2019-01-12']","['sot', 5, '2019-01-07/2019-01-12']"
"[4, '2019-01-31/2019-02-04']","['sot', 4, '2019-01-31/2019-02-04']"
"[6, '2019-02-16/2019-02-22']","['h', 4, '2019-02-16/2019-02-20']"
"[4, '2019-04-18/2019-04-22']","['sot', 4, '2019-04-18/2019-04-22']"
"[8, '2019-05-22/2019-05-30']","['sot', 8, '2019-05-22/2019-05-30']"
