durations;datelimits
246.0;2018-04-30/2019-01-01
25.0;2018-01-18/2018-02-12
27.0;2017-11-16/2017-12-13
14.0;2017-10-09/2017-10-23
13.0;2017-09-20/2017-10-03
14.0;2017-09-01/2017-09-15
14.0;2017-06-01/2017-06-15
18.0;2017-06-15/2017-07-03
20.0;2017-05-12/2017-06-01
19.0;2017-01-19/2017-02-07
13.0;2016-09-23/2016-10-06
15.0;2016-07-06/2016-07-21
20.0;2016-06-16/2016-07-06
56.0;2016-04-21/2016-06-16
13.0;2016-01-27/2016-02-09
21.0;2016-02-09/2016-03-01
10.0;2015-12-21/2015-12-31
5.0;2015-04-22/2015-04-27
5.0;2015-04-12/2015-04-17
10.0;2015-04-02/2015-04-12
7.0;2015-03-26/2015-04-02
6.0;2015-03-20/2015-03-26
4.0;2015-02-14/2015-02-18
17.0;2014-12-12/2014-12-29
8.0;2014-04-29/2014-05-07
10.0;2014-02-04/2014-02-14
13.0;2013-12-18/2013-12-31
12.0;2013-11-22/2013-12-04
34.0;2013-09-26/2013-10-30
26.0;2013-08-30/2013-09-25
36.0;2013-07-01/2013-08-06
35.0;2013-05-15/2013-06-19
12.0;2013-03-22/2013-04-03
13.0;2012-10-05/2012-10-18
19.0;2012-08-30/2012-09-18
9.0;2012-08-15/2012-08-24
5.0;2012-08-10/2012-08-15
10.0;2012-07-06/2012-07-16
5.0;2012-05-11/2012-05-16
7.0;2012-04-27/2012-05-04
4.0;2012-04-13/2012-04-17
5.0;2012-03-29/2012-04-03
