user_id,2018-08-08,2018-08-09,2018-08-10,2018-08-11,2018-08-12,2018-08-13,2018-08-14,2018-08-15,2018-08-16,2018-08-17,2018-08-18,2018-08-19,2018-08-20,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-25,2018-08-26,2018-08-27,2018-08-28
josh,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
jayswan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
