dev;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
aweary;15.604089219330856;1.0176579925650557;1.0176579925650557;0.0;0.0;0.0;0.0;0.0;0.0;0.0
chenglou;28.75559534467323;3.594449418084154;3.2676812891674127;0.0;0.0;0.6535362578334826;0.6535362578334826;0.0;0.0;0.0
petehunt;64.77218225419664;5.2517985611510785;4.376498800959232;0.8752997601918464;0.0;3.5011990407673856;2.6258992805755392;1.7505995203836928;0.0;0.0
flarnie;21.563400576368878;2.1037463976945245;1.5778097982708934;0.0;0.0;0.5259365994236311;0.0;0.0;0.0;0.0
vjeux;18.6078431372549;1.1450980392156862;0.8588235294117647;0.0;0.0;0.28627450980392155;0.28627450980392155;0.0;0.0;0.0
gaearon;39.61393088552916;3.1533477321814254;3.1533477321814254;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sophiebits;46.12162801703739;5.7004259346900135;5.7004259346900135;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cpojer;6.268400392541707;0.7163886162904809;0.7163886162904809;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jimfb;67.47899159663865;4.294117647058823;3.680672268907563;0.0;0.0;2.4537815126050417;2.4537815126050417;0.0;0.0;0.0
benjamn;44.640287769784166;4.376498800959232;3.5011990407673856;3.5011990407673856;0.0;1.7505995203836928;0.0;5.2517985611510785;1.7505995203836928;0.8752997601918464
sebmarkbage;33.074977000919965;3.357865685372585;3.357865685372585;0.0;0.0;0.0;0.0;0.0;0.0;0.0
nhunzaker;10.97900113507378;1.8643586833144155;1.8643586833144155;0.0;0.0;0.0;0.0;0.0;0.0;0.0
acdlite;37.244897959183675;2.4829931972789114;2.2071050642479215;0.0;0.0;0.2758881330309902;0.0;0.0;0.0;0.0
marocchino;49.59239130434782;1.9836956521739129;0.0;3.9673913043478257;1.9836956521739129;3.9673913043478257;1.9836956521739129;3.9673913043478257;0.0;0.0
trueadm;14.203619909502262;2.3122171945701355;2.3122171945701355;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bvaughn;48.74592833876222;4.755700325732899;4.755700325732899;0.0;0.0;0.0;0.0;0.0;0.0;0.0
koba04;12.528604118993135;0.8352402745995424;0.8352402745995424;0.0;0.0;0.0;0.0;0.0;0.0;0.0
zpao;63.77894736842105;4.098245614035088;3.8421052631578947;0.0;0.0;0.512280701754386;0.256140350877193;0.0;0.0;0.0
syranide;12.434065934065933;2.4065934065934065;2.4065934065934065;0.0;0.0;0.0;0.0;0.0;0.0;0.0
yungsters;8.934723481414325;1.3236627379873074;1.158204895738894;0.16545784224841342;0.16545784224841342;0.16545784224841342;0.0;0.0;0.0;0.0
keyz;8.14558979808714;0.77577045696068;0.77577045696068;0.38788522848034;0.38788522848034;0.0;0.0;0.0;0.0;0.0
