durations;datelimits
217;2018-11-15/2019-06-20
78;2018-08-29/2018-11-15
122;2018-04-28/2018-08-28
22;2017-06-15/2017-07-07
14;2017-02-06/2017-02-20
12;2017-01-24/2017-02-05
20;2016-09-09/2016-09-29
