durations,datelimits
206.0,2016-09-10/2017-04-04
28.0,2017-06-14/2017-07-12
21.0,2017-07-26/2017-08-16
16.0,2017-10-02/2017-10-18
41.0,2017-12-08/2018-01-18
33.0,2018-06-22/2018-07-25
160.0,2018-07-25/2019-01-01
