durations;datelimits
38;2019-04-12/2019-05-20
171;2018-10-23/2019-04-12
32;2018-05-19/2018-06-20
21;2017-09-27/2017-10-18
39;2017-07-31/2017-09-08
9;2017-07-12/2017-07-21
16;2017-06-26/2017-07-12
13;2017-05-23/2017-06-05
13;2017-03-09/2017-03-22
12;2016-10-13/2016-10-25
42;2016-05-09/2016-06-20
234;2015-08-07/2016-03-28
95;2015-05-04/2015-08-07
21;2015-04-13/2015-05-04
21;2015-03-23/2015-04-13
21;2015-02-18/2015-03-11
26;2014-11-07/2014-12-03
48;2014-08-05/2014-09-22
82;2014-01-30/2014-04-22
90;2013-11-01/2014-01-30
143;2013-06-10/2013-10-31
119;2013-02-11/2013-06-10
27;2013-01-15/2013-02-11
30;2012-12-10/2013-01-09
20;2012-09-04/2012-09-24
20;2011-12-27/2012-01-16
13;2011-03-31/2011-04-13
465;2009-12-11/2011-03-21
