durations,datelimits
22.0,2014-12-17/2015-01-08
15.0,2015-02-04/2015-02-19
22.0,2015-06-11/2015-07-03
13.0,2015-11-22/2015-12-05
21.0,2016-03-02/2016-03-23
17.0,2016-03-27/2016-04-13
24.0,2016-04-26/2016-05-20
115.0,2017-01-09/2017-05-04
228.0,2017-06-09/2018-01-23
196.0,2018-01-23/2018-08-07
