dev;username;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
1579646;acdlite;47.37234042553192;3.882978723404255;3.882978723404255;0.3882978723404255;0.3882978723404255;0.0;0.0;0.0;0.0;0.0
2520674;jquense;9.875130072840792;1.5192507804370448;1.5192507804370448;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17928;cpojer;5.177304964539007;0.7965084560829242;0.5973813420621932;0.19912711402073105;0.0;0.19912711402073105;0.0;0.3982542280414621;0.19912711402073105;0.0
2254823;keyanzhang;17.673684210526314;1.5368421052631578;0.7684210526315789;0.7684210526315789;0.0;0.7684210526315789;0.0;1.5368421052631578;0.0;0.0
4597;sebmarkbage;32.47724974721941;4.059656218402426;4.059656218402426;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86521;vjeux;16.60392156862745;1.1450980392156862;0.8588235294117647;0.28627450980392155;0.0;0.28627450980392155;0.0;0.5725490196078431;0.0;0.0
417948;gaearon;36.74348089751364;2.656155245603396;2.434808975136446;0.0;0.0;0.22134627046694966;0.22134627046694966;0.0;0.0;0.0
1637088;bvaughn;56.87669376693767;5.9349593495934965;5.9349593495934965;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1143927;syranide;10.428571428571427;1.2032967032967032;0.8021978021978021;0.0;0.0;0.40109890109890106;0.40109890109890106;0.0;0.0;0.0
1544938;trueadm;10.348964013086151;0.7960741548527808;0.7960741548527808;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18823;koba04;12.56605284227382;2.045636509207366;2.045636509207366;0.0;0.0;0.0;0.0;0.0;0.0;0.0
350296;petehunt;54.10079051383399;6.492094861660079;5.770750988142292;0.7213438735177865;0.0;2.885375494071146;2.1640316205533594;1.442687747035573;0.0;0.0
1714317;chenglou;23.854073410922112;2.287376902417189;1.9606087735004476;0.0;0.0;0.6535362578334826;0.3267681289167413;0.0;0.0;0.0
4761660;Aweary;20.364806866952787;2.3497854077253217;2.3497854077253217;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3716767;flarnie;28.482658959537574;3.1647398843930636;3.1647398843930636;1.5823699421965318;1.0549132947976878;0.5274566473988439;0.5274566473988439;0.0;0.0;0.0
52565;yungsters;9.560862865947612;1.312275295326143;1.312275295326143;0.18746789933230612;0.18746789933230612;0.0;0.0;0.0;0.0;0.0
2551;benjamn;36.93975903614457;3.5180722891566263;2.63855421686747;0.8795180722891566;0.0;1.7590361445783131;0.0;1.7590361445783131;0.8795180722891566;0.8795180722891566
6057533;jsfb;68.5635359116022;2.016574585635359;2.016574585635359;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10548;zpao;59.295195954487994;3.6915297092288246;2.99936788874842;0.6921618204804046;0.4614412136536031;0.6921618204804046;0.4614412136536031;0.0;0.0;0.0
8075646;jimfb;68.71638141809291;7.139364303178485;6.2469437652811735;0.0;0.0;1.7848410757946211;1.7848410757946211;0.0;0.0;0.0
7122;spicyj;53.662564766839374;4.4915803108808285;4.4915803108808285;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30225;nhunzaker;18.529051987767584;2.0091743119266057;2.0091743119266057;0.44648318042813456;0.22324159021406728;0.0;0.22324159021406728;0.0;0.0;0.0
