"[257, '2016-06-10/2017-02-22']","['sot', 257, '2016-06-10/2017-02-22']"
"[232, '2018-02-06/2018-09-26']","['sot', 232, '2018-02-06/2018-09-26']"
"[70, '2017-11-28/2018-02-06']","['sot', 70, '2017-11-28/2018-02-06']"
"[59, '2018-11-19/2019-01-17']","['sot', 59, '2018-11-19/2019-01-17']"
"[56, '2019-01-17/2019-03-14']","['sot', 56, '2019-01-17/2019-03-14']"
"[26, '2018-10-12/2018-11-07']","['sot', 26, '2018-10-12/2018-11-07']"
"[10, '2019-04-13/2019-04-23']","['sot', 10, '2019-04-13/2019-04-23']"
