durations,datelimits
15.0,2013-12-11/2013-12-26
7.0,2013-11-07/2013-11-14
8.0,2013-11-24/2013-12-02
8.0,2014-03-19/2014-03-27
12.0,2014-04-16/2014-04-28
4.0,2014-05-30/2014-06-03
5.0,2014-06-03/2014-06-08
4.0,2014-06-12/2014-06-16
6.0,2014-07-02/2014-07-08
11.0,2014-08-14/2014-08-25
31.0,2014-08-30/2014-09-30
15.0,2014-09-30/2014-10-15
14.0,2014-10-23/2014-11-06
36.0,2014-12-07/2015-01-12
21.0,2015-01-27/2015-02-17
16.0,2014-11-21/2014-12-07
4.0,2015-03-01/2015-03-05
4.0,2015-04-16/2015-04-20
3.0,2015-03-11/2015-03-14
3.0,2015-03-21/2015-03-24
3.0,2015-05-05/2015-05-08
5.0,2015-05-22/2015-05-27
3.0,2015-05-28/2015-05-31
11.0,2015-07-04/2015-07-15
11.0,2015-07-23/2015-08-03
23.0,2016-01-19/2016-02-11
30.0,2016-03-09/2016-04-08
21.0,2016-12-22/2017-01-12
17.0,2017-03-13/2017-03-30
38.0,2017-06-28/2017-08-05
62.0,2017-10-04/2017-12-05
65.0,2017-12-05/2018-02-08
96.0,2018-05-22/2018-08-26
