dev;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
zanderso;32.8639846743295;2.4473180076628354;2.4473180076628354;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mit-mit;35.49432739059967;1.7747163695299837;1.7747163695299837;0.5915721231766613;0.29578606158833065;0.0;0.29578606158833065;0.0;0.0;0.0
a-siva;25.696;2.92;2.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Hixie;59.407552083333336;3.802083333333334;3.802083333333334;0.7128906250000001;0.7128906250000001;0.0;0.0;0.0;0.0;0.0
sethladd;37.787258248009095;4.152445961319681;4.152445961319681;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mpcomplete;43.776337115072934;4.73257698541329;4.1410048622366284;1.1831442463533226;0.5915721231766613;0.5915721231766613;0.0;1.1831442463533226;0.0;0.0
johnmccutchan;28.515625;2.5923295454545454;2.0738636363636362;0.0;0.0;1.5553977272727273;1.0369318181818181;0.0;0.0;0.0
liyuqian;73.0;3.6500000000000004;3.6500000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mehmetf;22.541567695961994;3.034441805225653;3.034441805225653;0.0;0.0;0.0;0.0;0.0;0.0;0.0
chinmaygarde;56.288553803975326;4.252912954078136;4.252912954078136;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GaryQian;32.162883845126835;1.4619492656875834;0.9746328437917222;0.0;0.0;0.9746328437917222;0.4873164218958611;0.0;0.0;0.0
xster;61.88581314878893;2.946943483275663;2.946943483275663;0.0;0.0;0.0;0.0;0.0;0.0;0.0
justinmc;43.333333333333336;3.3333333333333335;3.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbaranov;30.648854961832065;5.572519083969466;4.643765903307888;0.9287531806615776;0.9287531806615776;0.9287531806615776;0.0;0.0;0.0;0.0
jcollins-g;20.0;1.6666666666666665;1.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HansMuller;61.33401920438958;4.255829903978053;4.255829903978053;0.2503429355281207;0.2503429355281207;0.0;0.0;0.0;0.0;0.0
rmacnak-google;23.06926406926407;2.844155844155844;2.844155844155844;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jslavitz;49.19565217391305;7.934782608695652;6.347826086956522;0.0;0.0;1.5869565217391306;0.0;0.0;0.0;0.0
abarth;29.323971260613977;2.6224689745264533;2.6224689745264533;0.7152188112344873;0.4768125408229915;0.0;0.23840627041149576;0.0;0.0;0.0
dnfield;43.18080357142857;4.888392857142857;4.888392857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0
collinjackson;32.936026936026934;3.1952861952861955;3.1952861952861955;0.2457912457912458;0.2457912457912458;0.0;0.0;0.0;0.0;0.0
Piinks;65.5859375;2.8515625;2.8515625;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aam;45.19973368841545;2.9161118508655126;2.9161118508655126;0.0;0.0;0.0;0.0;0.0;0.0;0.0
danrubel;30.248618784530386;6.0497237569060776;5.041436464088398;0.0;0.0;1.0082872928176796;0.0;0.0;0.0;0.0
yjbanov;43.480551053484604;2.9578606158833063;2.9578606158833063;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jason-simmons;65.71064139941691;4.256559766763848;4.256559766763848;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cbracken;52.48144712430427;3.047309833024119;3.047309833024119;0.0;0.0;0.0;0.0;0.0;0.0;0.0
tvolkert;39.644194756554306;5.468164794007491;5.468164794007491;0.0;0.0;0.0;0.0;0.0;0.0;0.0
goderbauer;61.988826815642454;3.6703910614525137;3.6703910614525137;0.40782122905027934;0.40782122905027934;0.0;0.0;0.0;0.0;0.0
gspencergoog;57.15659340659341;3.008241758241758;3.008241758241758;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mravn-google;51.01497504159734;4.858569051580699;4.858569051580699;1.2146422628951747;0.6073211314475874;1.2146422628951747;1.821963394342762;0.0;0.0;0.0
engine-flutter-autoroll;60.638977635782744;5.830670926517572;5.830670926517572;2.3322683706070286;2.3322683706070286;0.0;0.0;0.0;0.0;0.0
a14n;25.28015564202335;2.5564202334630353;2.5564202334630353;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pq;52.91927899686521;4.004702194357367;4.004702194357367;0.28605015673981193;0.28605015673981193;0.0;0.0;0.0;0.0;0.0
apwilson;8.025812619502869;2.0936902485659656;2.0936902485659656;0.0;0.0;0.0;0.0;0.0;0.0;0.0
