durations;datelimits
7.0;2018-06-22/2018-06-29
7.0;2017-11-22/2017-11-29
13.0;2018-01-31/2018-02-13
10.0;2018-01-14/2018-01-24
11.0;2017-09-12/2017-09-23
5.0;2017-09-05/2017-09-10
4.0;2017-08-28/2017-09-01
4.0;2017-08-20/2017-08-24
4.0;2017-05-13/2017-05-17
7.0;2016-11-10/2016-11-17
7.0;2016-05-18/2016-05-25
3.0;2016-03-05/2016-03-08
4.0;2016-04-22/2016-04-26
5.0;2016-04-09/2016-04-14
4.0;2016-03-18/2016-03-22
11.0;2015-12-10/2015-12-21
7.0;2015-08-31/2015-09-07
19.0;2015-07-27/2015-08-15
32.0;2015-06-25/2015-07-27
35.0;2015-05-21/2015-06-25
