durations;datelimits
1305;2015-11-23/2019-06-20
20;2015-07-15/2015-08-04
13;2015-06-22/2015-07-05
13;2015-05-12/2015-05-25
14;2015-03-24/2015-04-07
145;2014-09-08/2015-01-31
31;2014-04-01/2014-05-02
