dev;username;sleepings;hibernatings;deads
62143;manucorporat;[31, 67, 16, 14, 9, 7, 4, 10];[4, 38, 7, 10];[]
7610653;brandyscarney;[10, 10];[11, 10];[]
2188014;mhartington;[12, 12, 23, 13, 12];[21];[]
2105414;danbucholtz;[27, 56, 65, 48];[10, 14, 34, 30, 19, 33];[]
246540;jthoms1;[127];[];[]
76171;adamdbradley;[19, 22, 48];[];[]
135496;kensodemann;[20, 48, 19, 29, 61, 32, 47];[];[]
1808193;camwiegert;[118, 16, 10, 22];[21];[]
