"[36.0, '2017-08-29/2017-10-04']","['sot', 36, '2017-08-29/2017-10-04']"
"[33.0, '2017-10-04/2017-11-06']","['sot', 33, '2017-10-04/2017-11-06']"
"[24.0, '2018-03-23/2018-04-16']","['sot', 24, '2018-03-23/2018-04-16']"
"[52.0, '2018-04-26/2018-06-17']","['sot', 52, '2018-04-26/2018-06-17']"
"[56.0, '2018-06-29/2018-08-24']","['sot', 56, '2018-06-29/2018-08-24']"
"[41.0, '2018-08-29/2018-10-09']","['sot', 41, '2018-08-29/2018-10-09']"
"[42.0, '2018-11-16/2018-12-28']","['sot', 42, '2018-11-16/2018-12-28']"
