"[118, '2013-08-31/2013-12-27']","['sot', 118, '2013-08-31/2013-12-27']"
"[1163, '2014-01-27/2017-04-04']","['sot', 114, '2014-01-27/2014-05-21']","['h', 310, '2014-07-26/2015-03-27']","['sot', 323, '2015-03-27/2016-02-13']","['d', 416, '2016-04-19/2017-04-04']"
"[43, '2017-04-04/2017-05-17']","['h', 36, '2017-04-04/2017-05-10']"
"[32, '2017-06-12/2017-07-14']","['sot', 32, '2017-06-12/2017-07-14']"
"[55, '2017-11-09/2018-01-03']","['sot', 55, '2017-11-09/2018-01-03']"
"[20, '2018-01-23/2018-02-12']","['sot', 20, '2018-01-23/2018-02-12']"
"[21, '2018-02-12/2018-03-05']","['sot', 21, '2018-02-12/2018-03-05']"
"[90, '2018-11-27/2019-02-25']","['sot', 90, '2018-11-27/2019-02-25']"
