"[607, '2012-01-25/2013-09-23']","['d', 411, '2012-01-25/2013-03-11']"
"[517, '2015-12-30/2017-05-30']","['sot', 517, '2015-12-30/2017-05-30']"
"[735, '2017-06-15/2019-06-20']","['sot', 735, '2017-06-15/2019-06-20']"
