"[276, '2015-06-01/2016-03-03']","['h', 272, '2015-06-01/2016-02-28']"
"[183, '2014-07-13/2015-01-12']","['sot', 183, '2014-07-13/2015-01-12']"
"[587, '2016-09-24/2018-05-04']","['sot', 587, '2016-09-24/2018-05-04']"
"[388, '2018-05-28/2019-06-20']","['sot', 388, '2018-05-28/2019-06-20']"
