durations;datelimits
828;2017-03-14/2019-06-20
98;2016-12-06/2017-03-14
72;2016-08-15/2016-10-26
122;2016-04-15/2016-08-15
67;2016-02-08/2016-04-15
41;2015-12-04/2016-01-14
17;2015-11-13/2015-11-30
13;2015-10-14/2015-10-27
11;2015-09-24/2015-10-05
13;2015-09-01/2015-09-14
6;2015-07-21/2015-07-27
11;2015-07-09/2015-07-20
5;2015-07-01/2015-07-06
4;2015-05-22/2015-05-26
4;2015-05-01/2015-05-05
4;2015-03-05/2015-03-09
4;2015-01-16/2015-01-20
12;2014-12-24/2015-01-05
4;2014-08-29/2014-09-02
4;2014-07-31/2014-08-04
10;2014-11-21/2014-12-01
14;2012-11-05/2012-11-19
20;2012-11-20/2012-12-10
19;2012-08-23/2012-09-11
17;2012-08-05/2012-08-22
44;2012-06-18/2012-08-01
