durations;datelimits
5;2019-01-17/2019-01-22
5;2019-01-09/2019-01-14
8;2018-12-20/2018-12-28
12;2018-06-29/2018-07-11
11;2018-05-03/2018-05-14
9;2018-02-19/2018-02-28
15;2017-06-21/2017-07-06
11;2017-06-05/2017-06-16
5;2017-05-25/2017-05-30
4;2017-05-18/2017-05-22
4;2017-04-14/2017-04-18
4;2017-02-17/2017-02-21
6;2017-05-03/2017-05-09
5;2017-01-25/2017-01-30
9;2017-02-27/2017-03-08
20;2016-08-25/2016-09-14
12;2016-07-22/2016-08-03
8;2016-06-28/2016-07-06
11;2016-06-13/2016-06-24
10;2016-05-27/2016-06-06
8;2015-10-06/2015-10-14
21;2015-12-18/2016-01-08
15;2015-10-21/2015-11-05
13;2015-09-03/2015-09-16
28;2015-07-15/2015-08-12
18;2015-05-30/2015-06-17
31;2015-03-31/2015-05-01
19;2015-02-11/2015-03-02
25;2014-10-30/2014-11-24
