durations;datelimits
12;2019-02-22/2019-03-06
14;2019-04-29/2019-05-13
20;2019-03-08/2019-03-28
26;2018-10-06/2018-11-01
18;2018-08-30/2018-09-17
8;2018-08-08/2018-08-16
7;2018-07-02/2018-07-09
4;2018-06-15/2018-06-19
4;2018-06-01/2018-06-05
4;2018-05-25/2018-05-29
4;2018-05-17/2018-05-21
4;2018-05-04/2018-05-08
5;2017-12-10/2017-12-15
4;2017-11-09/2017-11-13
4;2017-10-30/2017-11-03
4;2017-10-19/2017-10-23
8;2017-08-30/2017-09-07
14;2017-05-12/2017-05-26
11;2017-01-18/2017-01-29
12;2016-12-29/2017-01-10
7;2016-10-20/2016-10-27
8;2016-11-01/2016-11-09
23;2016-02-18/2016-03-12
33;2016-03-12/2016-04-14
21;2016-01-20/2016-02-10
14;2015-12-17/2015-12-31
9;2015-10-20/2015-10-29
9;2015-02-08/2015-02-17
14;2015-02-17/2015-03-03
14;2014-12-22/2015-01-05
11;2014-07-10/2014-07-21
7;2014-04-21/2014-04-28
8;2014-04-02/2014-04-10
22;2013-12-19/2014-01-10
19;2013-06-11/2013-06-30
29;2013-05-09/2013-06-07
39;2013-03-31/2013-05-09
92;2013-06-30/2013-09-30
