durations,datelimits
115.0,2014-12-07/2015-04-01
59.0,2014-08-29/2014-10-27
34.0,2014-11-03/2014-12-07
12.0,2015-09-12/2015-09-24
8.0,2016-03-03/2016-03-11
10.0,2016-03-15/2016-03-25
12.0,2016-05-08/2016-05-20
14.0,2016-05-20/2016-06-03
21.0,2016-06-06/2016-06-27
13.0,2016-07-26/2016-08-08
27.0,2017-05-07/2017-06-03
22.0,2017-06-03/2017-06-25
26.0,2017-09-08/2017-10-04
19.0,2017-11-10/2017-11-29
15.0,2017-10-04/2017-10-19
10.0,2018-01-19/2018-01-29
25.0,2018-04-16/2018-05-11
132.0,2018-07-09/2018-11-18
