dev;sleepings;hibernatings;deads
mnabialek;[103, 205, 116, 108, 77, 89];[];[]
anlutro;[23, 24, 1007, 134];[187];[400]
arrilot;[59, 196, 401];[];[609]
laurencei;[199, 211, 107, 56, 92, 196, 204];[];[]
lucasmichot;[55, 36, 40, 30, 23, 13, 17, 23, 19, 58, 27, 63, 43, 35, 117, 43, 48, 101];[129, 20];[]
TBlindaruk;[25, 33, 8];[13, 34];[]
carusogabriel;[68, 32, 28];[71];[]
KennedyTedesco;[147, 88, 76, 85, 67, 54, 186, 213];[99];[]
GrahamCampbell;[39, 16, 18, 35, 8, 11, 8, 22, 7, 9, 11, 20, 20, 33, 54, 27, 25, 10, 11, 17];[];[]
halaei;[84];[];[]
vlakoff;[160, 249, 76, 27, 22, 24, 33, 33, 67, 40];[203];[]
JosephSilber;[116, 74, 48, 58, 35, 23, 10, 9, 13, 20, 19, 11, 17, 33, 21, 65, 55, 127, 50, 83, 106, 191];[59, 22];[]
franzliedke;[13, 14, 42, 38, 78, 182, 65, 224, 254, 273, 154, 181];[];[]
rkgrep;[104, 120, 976];[];[]
driesvints;[35, 160, 47, 110, 231, 351, 117, 35, 13, 9, 7];[47, 67, 222];[]
crynobone;[131, 77, 43, 38, 34, 34, 41, 71, 68, 174, 106, 124, 175, 86, 100];[];[]
adamwathan;[315, 57, 52, 45, 122, 287];[];[]
taylorotwell;[3, 7, 18, 33, 9, 9, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3];[5, 18, 9, 7, 5, 3];[]
staudenmeir;[34, 8, 8, 9, 9, 5, 9, 17];[27];[555]
sileence;[104, 85, 60, 433];[89];[]
acasar;[147, 53, 468, 133];[125, 99];[388]
browner12;[74, 56, 46, 63, 40, 38, 47];[];[]
barryvdh;[198, 101, 82, 73, 300, 189];[];[]
themsaid;[19, 7, 15, 9, 29, 10, 9, 9, 20, 16, 22, 28, 20, 11, 12, 13, 26, 19];[];[]
Anahkiasen;[139, 822, 254, 376];[253, 131];[]
tillkruss;[48, 34, 18, 9, 50, 17, 44, 37, 43, 99];[133, 51];[]
