user_id,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,2016-10-03,2016-10-04,2016-10-05,2016-10-06,2016-10-07
josh,4,0,0,0,0,3,0,10,12,0
larshp,0,0,2,0,0,1,0,0,0,0
