durations,datelimits
88.0,2016-02-12/2016-05-10
36.0,2016-06-30/2016-08-05
49.0,2016-08-23/2016-10-11
29.0,2016-12-08/2017-01-06
18.0,2017-01-26/2017-02-13
16.0,2017-04-04/2017-04-20
53.0,2017-07-20/2017-09-11
13.0,2017-09-11/2017-09-24
20.0,2017-09-29/2017-10-19
23.0,2017-11-29/2017-12-22
35.0,2017-12-22/2018-01-26
19.0,2018-03-09/2018-03-28
54.0,2018-05-31/2018-07-24
15.0,2018-07-27/2018-08-11
16.0,2018-08-15/2018-08-31
12.0,2018-08-31/2018-09-12
54.0,2018-09-12/2018-11-05
40.0,2018-12-10/2019-01-19
30.0,2019-03-09/2019-04-08
