durations;datelimits
17;2018-10-08/2018-10-25
16;2018-05-15/2018-05-31
19;2017-12-21/2018-01-09
10;2017-10-07/2017-10-17
6;2017-09-01/2017-09-07
5;2017-08-23/2017-08-28
7;2017-08-16/2017-08-23
9;2017-08-07/2017-08-16
6;2017-07-13/2017-07-19
4;2017-05-27/2017-05-31
8;2017-07-05/2017-07-13
12;2017-02-18/2017-03-02
20;2016-12-16/2017-01-05
11;2016-11-28/2016-12-09
28;2016-06-23/2016-07-21
10;2016-05-06/2016-05-16
7;2016-02-15/2016-02-22
23;2015-07-25/2015-08-17
20;2015-06-26/2015-07-16
21;2015-04-21/2015-05-12
19;2015-04-01/2015-04-20
