durations,datelimits
15.0,2015-09-01/2015-09-16
13.0,2016-01-06/2016-01-19
6.0,2015-12-22/2015-12-28
5.0,2016-03-16/2016-03-21
4.0,2016-02-06/2016-02-10
4.0,2016-05-27/2016-05-31
4.0,2016-06-09/2016-06-13
6.0,2016-07-01/2016-07-07
4.0,2016-07-15/2016-07-19
6.0,2016-07-22/2016-07-28
5.0,2016-08-11/2016-08-16
8.0,2016-08-24/2016-09-01
11.0,2016-09-01/2016-09-12
13.0,2016-12-21/2017-01-03
8.0,2017-02-13/2017-02-21
5.0,2017-03-30/2017-04-04
6.0,2017-04-18/2017-04-24
10.0,2017-09-05/2017-09-15
12.0,2017-11-03/2017-11-15
13.0,2018-05-09/2018-05-22
23.0,2018-05-22/2018-06-14
22.0,2018-12-19/2019-01-10
10.0,2018-11-04/2018-11-14
