dev;username;sleepings;hibernatings;deads
31522;arfon;[46, 62, 8, 13, 11, 13, 14, 16, 23, 20, 66, 84, 135, 81, 29];[9, 169, 80, 90, 54];[]
1824573;kivikakk;[122];[65, 120, 61, 129];[]
1005462;Alhadis;[83, 127, 85, 41, 104, 34];[];[]
6255;tnm;[24, 13, 30, 37, 68, 30, 14];[13, 156, 44, 67, 30, 26, 28, 21];[1357]
2008567;pchaigno;[96, 92];[];[]
13691;gjtorikian;[274, 446];[255, 267, 234];[]
1565;josh;[69, 189, 378, 101, 830];[309];[413]
28464;bkeepers;[88, 29, 18, 33, 27, 47, 44, 32, 107, 709];[127, 172];[]
314689;lildude;[18, 22, 18, 36];[];[]
50603;aroben;[71, 99, 138, 146];[70, 115];[754]
369518;larsbrinkhoff;[234, 312, 80, 113, 697];[];[]
1556;vmg;[98, 431, 336];[94];[]
