durations,datelimits
14.0,2012-11-05/2012-11-19
10.0,2014-11-21/2014-12-01
12.0,2014-12-24/2015-01-05
4.0,2015-01-16/2015-01-20
4.0,2015-03-05/2015-03-09
4.0,2015-03-19/2015-03-23
5.0,2015-05-01/2015-05-06
4.0,2015-05-22/2015-05-26
5.0,2015-07-01/2015-07-06
11.0,2015-07-09/2015-07-20
6.0,2015-07-21/2015-07-27
13.0,2015-09-01/2015-09-14
20.0,2015-11-11/2015-12-01
41.0,2015-12-04/2016-01-14
261.0,2016-02-08/2016-10-26
98.0,2016-12-06/2017-03-14
132.0,2019-02-08/2019-06-20
112.0,2018-06-08/2018-09-28
311.0,2017-03-14/2018-01-19
