durations;datelimits
497.0;2017-08-22/2019-01-01
38.0;2017-06-28/2017-08-05
33.0;2016-12-22/2017-01-24
30.0;2016-03-09/2016-04-08
23.0;2016-01-19/2016-02-11
13.0;2015-08-06/2015-08-19
14.0;2015-07-23/2015-08-06
11.0;2015-07-04/2015-07-15
9.0;2015-02-17/2015-02-26
20.0;2015-01-27/2015-02-16
16.0;2014-11-21/2014-12-07
36.0;2014-12-07/2015-01-12
15.0;2014-10-23/2014-11-07
46.0;2014-08-30/2014-10-15
13.0;2014-04-15/2014-04-28
9.0;2014-03-19/2014-03-28
9.0;2014-01-20/2014-01-29
12.0;2013-11-20/2013-12-02
18.0;2013-12-11/2013-12-29
