user_id,2019-02-21,2019-02-22,2019-02-23,2019-02-24,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12
kf6gpe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
filiph,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
