durations,datelimits
13.0,2015-12-15/2015-12-28
9.0,2016-01-23/2016-02-01
4.0,2016-03-18/2016-03-22
6.0,2016-04-12/2016-04-18
4.0,2016-04-28/2016-05-02
7.0,2016-05-16/2016-05-23
256.0,2018-01-18/2018-10-01
105.0,2017-08-17/2017-11-30
33.0,2017-06-28/2017-07-31
5.0,2017-05-19/2017-05-24
12.0,2017-03-31/2017-04-12
7.0,2017-02-10/2017-02-17
112.0,2016-08-11/2016-12-01
24.0,2016-06-30/2016-07-24
28.0,2016-05-23/2016-06-20
58.0,2018-12-12/2019-02-08
21.0,2018-10-05/2018-10-26
132.0,2019-02-08/2019-06-20
