durations,datelimits
16.0,2015-07-07/2015-07-23
14.0,2015-07-28/2015-08-11
16.0,2015-12-20/2016-01-05
12.0,2016-01-14/2016-01-26
8.0,2016-05-06/2016-05-14
5.0,2016-01-29/2016-02-03
5.0,2016-02-03/2016-02-08
5.0,2016-02-24/2016-02-29
7.0,2016-06-07/2016-06-14
7.0,2016-07-01/2016-07-08
11.0,2016-09-09/2016-09-20
14.0,2016-12-20/2017-01-03
8.0,2017-01-11/2017-01-19
6.0,2016-11-03/2016-11-09
5.0,2017-04-13/2017-04-18
4.0,2017-05-25/2017-05-29
6.0,2017-07-13/2017-07-19
4.0,2017-07-21/2017-07-25
9.0,2017-08-01/2017-08-10
6.0,2017-09-07/2017-09-13
6.0,2018-01-03/2018-01-09
5.0,2018-01-31/2018-02-05
7.0,2018-02-21/2018-02-28
51.0,2019-02-11/2019-04-03
45.0,2019-04-03/2019-05-18
