"[92.0, '2011-02-20/2011-05-23']","['h', 66, '2011-02-20/2011-04-27']"
"[102.0, '2011-06-16/2011-09-26']","['sot', 102, '2011-06-16/2011-09-26']"
"[325.0, '2012-06-21/2013-05-12']","['sot', 325, '2012-06-21/2013-05-12']"
"[2060, '2013-05-12/2019-01-01']","['h', 302, '2013-05-12/2014-03-10']","['sot', 253, '2014-03-10/2014-11-18']","['d', 1178, '2015-06-11/2018-02-08']","['sot', 327, '2018-02-08/2019-01-01']"
