durations;datelimits
10;2019-05-27/2019-06-06
20;2018-12-14/2019-01-03
11;2018-10-11/2018-10-22
14;2018-08-07/2018-08-21
15;2018-05-02/2018-05-17
21;2017-12-21/2018-01-11
20;2017-09-15/2017-10-05
23;2017-08-23/2017-09-15
10;2017-01-20/2017-01-30
8;2016-09-19/2016-09-27
15;2016-08-29/2016-09-13
9;2016-08-03/2016-08-12
9;2016-05-31/2016-06-09
5;2015-09-02/2015-09-07
5;2015-08-19/2015-08-24
5;2015-05-13/2015-05-18
5;2015-04-28/2015-05-03
10;2014-12-19/2014-12-29
20;2014-02-18/2014-03-10
4;2014-01-09/2014-01-13
10;2013-12-20/2013-12-30
7;2013-09-03/2013-09-10
9;2013-06-04/2013-06-13
8;2013-02-06/2013-02-14
4;2012-11-22/2012-11-26
4;2012-11-09/2012-11-13
3;2012-11-05/2012-11-08
3;2012-10-15/2012-10-18
3;2012-07-10/2012-07-13
4;2012-08-30/2012-09-03
4;2012-06-01/2012-06-05
4;2012-05-26/2012-05-30
8;2012-04-21/2012-04-29
13;2012-04-29/2012-05-12
449;2010-10-13/2012-01-05
