durations;datelimits
204;2018-11-28/2019-06-20
127;2018-04-24/2018-08-29
41;2018-03-14/2018-04-24
34;2018-01-23/2018-02-26
29;2017-12-14/2018-01-12
30;2017-08-08/2017-09-07
87;2017-03-29/2017-06-24
43;2017-02-14/2017-03-29
35;2017-01-07/2017-02-11
24;2016-12-10/2017-01-03
19;2016-10-04/2016-10-23
13;2016-03-11/2016-03-24
9;2015-12-05/2015-12-14
17;2015-09-04/2015-09-21
8;2015-07-25/2015-08-02
17;2015-06-30/2015-07-17
15;2015-05-13/2015-05-28
24;2015-04-19/2015-05-13
27;2014-09-17/2014-10-14
22;2014-08-26/2014-09-17
30;2014-07-13/2014-08-12
363;2013-05-18/2014-05-16
72;2013-03-07/2013-05-18
