durations;datelimits
1667;2014-11-26/2019-06-20
101;2014-08-17/2014-11-26
157;2014-03-01/2014-08-05
62;2013-12-29/2014-03-01
51;2013-10-20/2013-12-10
30;2012-10-17/2012-11-16
14;2012-08-07/2012-08-21
10;2012-07-08/2012-07-18
7;2012-06-19/2012-06-26
4;2012-06-01/2012-06-05
6;2012-04-17/2012-04-23
3;2012-04-14/2012-04-17
9;2012-04-05/2012-04-14
3;2012-03-23/2012-03-26
3;2011-11-14/2011-11-17
3;2011-09-18/2011-09-21
3;2011-09-09/2011-09-12
4;2012-02-08/2012-02-12
6;2011-08-25/2011-08-31
9;2011-08-14/2011-08-23
22;2011-01-19/2011-02-10
23;2010-12-27/2011-01-19
9;2010-10-26/2010-11-04
15;2010-09-05/2010-09-20
5;2010-06-02/2010-06-07
5;2010-05-10/2010-05-15
5;2010-05-03/2010-05-08
3;2010-02-28/2010-03-03
7;2010-04-13/2010-04-20
6;2010-02-10/2010-02-16
10;2009-12-11/2009-12-21
8;2009-12-03/2009-12-11
16;2009-08-13/2009-08-29
58;2009-04-18/2009-06-15
53;2009-02-07/2009-04-01
165;2008-07-30/2009-01-11
