durations,datelimits
129.0,2011-01-08/2011-05-17
63.0,2011-05-17/2011-07-19
26.0,2011-11-04/2011-11-30
33.0,2012-05-31/2012-07-03
70.0,2012-07-05/2012-09-13
23.0,2012-11-06/2012-11-29
23.0,2013-01-14/2013-02-06
99.0,2013-05-09/2013-08-16
23.0,2013-08-16/2013-09-08
27.0,2013-12-26/2014-01-22
31.0,2014-01-22/2014-02-22
81.0,2014-05-01/2014-07-21
20.0,2014-04-01/2014-04-21
35.0,2014-10-30/2014-12-04
47.0,2014-12-04/2015-01-20
70.0,2015-05-05/2015-07-14
46.0,2015-07-18/2015-09-02
28.0,2015-04-07/2015-05-05
36.0,2015-11-04/2015-12-10
45.0,2015-12-18/2016-02-01
25.0,2016-02-01/2016-02-26
24.0,2016-06-06/2016-06-30
84.0,2016-06-30/2016-09-22
75.0,2016-09-22/2016-12-06
48.0,2016-12-09/2017-01-26
99.0,2017-02-07/2017-05-17
80.0,2017-07-11/2017-09-29
81.0,2017-11-16/2018-02-05
120.0,2018-04-22/2018-08-20
149.0,2018-11-19/2019-04-17
