durations,datelimits
25.0,2012-12-27/2013-01-21
16.0,2012-11-12/2012-11-28
13.0,2013-02-25/2013-03-10
8.0,2013-04-24/2013-05-02
7.0,2013-05-26/2013-06-02
16.0,2013-09-17/2013-10-03
36.0,2014-01-25/2014-03-02
59.0,2014-06-15/2014-08-13
73.0,2015-02-27/2015-05-11
232.0,2015-05-31/2016-01-18
45.0,2014-11-06/2014-12-21
14.0,2016-02-21/2016-03-06
7.0,2016-03-15/2016-03-22
16.0,2016-07-24/2016-08-09
16.0,2016-09-07/2016-09-23
24.0,2016-09-29/2016-10-23
17.0,2016-10-26/2016-11-12
58.0,2016-11-17/2017-01-14
31.0,2017-03-24/2017-04-24
30.0,2017-06-30/2017-07-30
155.0,2017-11-24/2018-04-28
181.0,2018-05-07/2018-11-04
