durations,datelimits
15.0,2010-09-05/2010-09-20
9.0,2010-10-26/2010-11-04
23.0,2010-12-27/2011-01-19
22.0,2011-01-19/2011-02-10
7.0,2011-08-16/2011-08-23
6.0,2011-08-25/2011-08-31
4.0,2012-02-08/2012-02-12
3.0,2011-09-18/2011-09-21
3.0,2011-11-14/2011-11-17
3.0,2012-03-23/2012-03-26
5.0,2012-04-05/2012-04-10
4.0,2012-04-10/2012-04-14
6.0,2012-04-17/2012-04-23
7.0,2012-06-19/2012-06-26
14.0,2012-08-07/2012-08-21
30.0,2012-10-17/2012-11-16
51.0,2013-10-20/2013-12-10
62.0,2013-12-29/2014-03-01
157.0,2014-03-01/2014-08-05
101.0,2014-08-17/2014-11-26
385.0,2017-05-24/2018-06-13
92.0,2016-01-03/2016-04-04
289.0,2014-11-26/2015-09-11
