rtomayko,21,89,111,0.02702702702702703
wfarr,1,1.0
kdaigle,2,4,0.75
rsanheim,8,9,0.2222222222222222
jnunemaker,238,240,0.0125
ammeep,1,1.0
zerowidth,11,2,5,7,247,3,553,831,0.012033694344163659
jatoben,8,9,0.2222222222222222
dbussink,84,365,231,3,2,689,0.013062409288824383
