dev;sleepings;hibernatings;deads
yrashk;[424, 65, 30, 22, 19, 17, 14, 29, 24, 26, 51, 32, 1638, 235];[181];[]
fertapric;[49, 43, 34, 13, 12, 14, 21, 15, 16, 19, 33];[];[]
josevalim;[4, 4, 3, 3, 3, 4, 5, 7, 4, 6, 4, 3, 3, 3, 3, 7, 3, 4, 5, 4, 3, 3, 5, 3, 3, 3, 3, 4, 8, 5, 4, 3, 3, 3, 3, 4, 7, 8, 7, 9, 8, 11, 11, 8, 7, 9, 8, 7, 8];[4, 4, 4, 24, 26, 20, 17];[]
ggcampinho;[87, 85, 171];[];[]
jwarwick;[60, 24, 103, 385, 195];[27, 27, 33];[1014]
lexmag;[14, 10, 11, 11, 8, 11, 9, 16, 10, 11, 40, 70, 77, 39, 148];[185];[]
ericmj;[34, 13, 11, 10, 12, 11, 17, 31, 25, 21, 38, 38, 49, 23, 21, 17, 100, 62, 40, 100, 57];[];[]
myronmarston;[259, 472];[];[]
michalmuskala;[207, 181, 36, 39, 21, 31, 55, 62, 28, 30, 32, 87, 190];[];[]
ericentin;[70, 161, 56, 50, 149, 112, 89];[37, 48];[543]
rafaelfranca;[17, 58, 107];[29, 90, 288];[1889]
whatyouhide;[45, 40, 38, 27, 48, 47, 25, 14, 27, 12, 32, 20, 19, 46, 74];[34];[]
alco;[38, 92, 203, 48, 32, 43, 26, 70, 37, 123, 558];[91];[442]
meh;[72, 147, 168];[];[1698]
mururu;[101, 107];[126];[1694]
gusaiani;[301, 219];[117, 58, 53, 177, 120];[]
fishcakez;[140, 104, 70, 145, 517];[];[]
wojtekmach;[146, 98, 51, 50, 58];[];[]
eksperimental;[94, 75, 49, 28, 15, 43, 50, 125, 103, 31, 47, 29, 29];[17, 29, 71];[]
devonestes;[184, 145];[];[]
