durations,datelimits
4.0,2012-06-28/2012-07-02
4.0,2012-12-27/2012-12-31
3.0,2012-12-10/2012-12-13
3.0,2012-12-13/2012-12-16
3.0,2012-12-17/2012-12-20
4.0,2013-02-04/2013-02-08
5.0,2013-02-09/2013-02-14
7.0,2013-03-18/2013-03-25
4.0,2013-04-16/2013-04-20
6.0,2013-09-17/2013-09-23
4.0,2013-09-25/2013-09-29
3.0,2013-10-04/2013-10-07
3.0,2014-03-23/2014-03-26
3.0,2014-03-28/2014-03-31
3.0,2014-04-01/2014-04-04
7.0,2014-09-28/2014-10-05
3.0,2014-10-12/2014-10-15
4.0,2014-10-21/2014-10-25
5.0,2014-12-13/2014-12-18
4.0,2014-12-19/2014-12-23
3.0,2015-02-23/2015-02-26
3.0,2015-03-30/2015-04-02
5.0,2015-04-22/2015-04-27
3.0,2015-06-05/2015-06-08
3.0,2015-06-12/2015-06-15
3.0,2015-07-04/2015-07-07
3.0,2015-07-24/2015-07-27
4.0,2015-08-25/2015-08-29
8.0,2015-11-04/2015-11-12
5.0,2015-10-30/2015-11-04
4.0,2015-12-10/2015-12-14
3.0,2015-12-26/2015-12-29
3.0,2016-04-05/2016-04-08
3.0,2016-04-08/2016-04-11
3.0,2016-04-15/2016-04-18
4.0,2016-04-18/2016-04-22
7.0,2016-08-29/2016-09-05
8.0,2016-12-11/2016-12-19
7.0,2016-12-19/2016-12-26
9.0,2016-12-26/2017-01-04
8.0,2017-04-04/2017-04-12
11.0,2017-08-02/2017-08-13
11.0,2018-05-17/2018-05-28
8.0,2018-06-11/2018-06-19
7.0,2018-06-25/2018-07-02
9.0,2018-10-13/2018-10-22
8.0,2019-02-02/2019-02-10
7.0,2019-03-05/2019-03-12
8.0,2019-03-14/2019-03-22
