durations,datelimits
19.0,2015-11-25/2015-12-14
7.0,2016-01-06/2016-01-13
7.0,2016-06-24/2016-07-01
5.0,2016-04-20/2016-04-25
5.0,2016-06-19/2016-06-24
14.0,2016-07-04/2016-07-18
11.0,2016-07-25/2016-08-05
10.0,2017-03-17/2017-03-27
32.0,2017-12-07/2018-01-08
11.0,2018-06-28/2018-07-09
14.0,2018-07-11/2018-07-25
13.0,2018-09-07/2018-09-20
15.0,2018-12-18/2019-01-02
12.0,2018-11-28/2018-12-10
10.0,2019-03-19/2019-03-29
4.0,2019-01-18/2019-01-22
6.0,2019-03-01/2019-03-07
4.0,2019-03-15/2019-03-19
5.0,2019-05-03/2019-05-08
8.0,2019-05-09/2019-05-17
6.0,2019-05-17/2019-05-23
