"[20.0, '2017-10-06/2017-10-26']","['sot', 20, '2017-10-06/2017-10-26']"
"[48.0, '2017-12-14/2018-01-31']","['sot', 48, '2017-12-14/2018-01-31']"
"[19.0, '2018-02-28/2018-03-19']","['sot', 19, '2018-02-28/2018-03-19']"
"[29.0, '2018-04-04/2018-05-03']","['sot', 29, '2018-04-04/2018-05-03']"
"[61.0, '2018-05-03/2018-07-03']","['sot', 61, '2018-05-03/2018-07-03']"
"[32.0, '2018-07-28/2018-08-29']","['sot', 32, '2018-07-28/2018-08-29']"
"[47.0, '2018-10-11/2018-11-27']","['sot', 47, '2018-10-11/2018-11-27']"
